series,episode,baker,result,technical,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper
9,8,Kim-Joy,IN,2,Hewlett,27,Mental health specialist,Leeds,NA,NA
9,8,Manon,OUT,4,Lagrave,26,Software project manager,London,NA,NA
9,8,Rahul,IN,5,Mandal,30,Research scientist,Rotherham,NA,NA
9,8,Ruby,STAR BAKER,3,Bhogal,29,Project manager,London,NA,NA
9,9,Briony,OUT,3,Williams,33,Full-time parent,Bristol,NA,NA
9,9,Kim-Joy,IN,2,Hewlett,27,Mental health specialist,Leeds,NA,NA
9,9,Rahul,IN,4,Mandal,30,Research scientist,Rotherham,NA,NA
9,9,Ruby,STAR BAKER,1,Bhogal,29,Project manager,London,NA,NA
9,10,Kim-Joy,Runner-up,1,Hewlett,27,Mental health specialist,Leeds,NA,NA
9,10,Rahul,WINNER,2,Mandal,30,Research scientist,Rotherham,NA,NA
9,10,Ruby,Runner-up,3,Bhogal,29,Project manager,London,NA,NA
10,1,Alice,IN,5,Fevronia,28,Geography teacher,Essex,NA,NA
10,1,Amelia,IN,4,LeBruin,24,Fashion designer,Halifax,NA,NA
10,1,Dan,OUT,9,Chambers,32,Support worker,Rotherham,NA,NA
10,1,David,IN,10,Atherton,36,International health adviser,Whitby,NA,NA
10,1,Helena,IN,12,Garcia,40,Online project manager,Leeds,NA,NA
10,1,Henry,IN,1,Bird,20,Student,Durham,NA,NA
10,1,Jamie,IN,13,Finn,20,Part-time waiter,Surrey,NA,NA
10,1,Michael,IN,11,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,1,Michelle,STAR BAKER,6,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",NA,NA
10,1,Phil,IN,8,Thorne,56,HGV driver,Rainham,NA,NA
10,1,Priya,IN,7,O'Shea,34,Marketing consultant,Leicester,NA,NA
10,1,Rosie,IN,2,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
10,1,Steph,IN,3,Blackwell,28,Shop assistant,Chester,NA,NA
10,2,Alice,STAR BAKER,1,Fevronia,28,Geography teacher,Essex,NA,NA
10,2,Amelia,IN,9,LeBruin,24,Fashion designer,Halifax,NA,NA
10,2,David,IN,2,Atherton,36,International health adviser,Whitby,NA,NA
10,2,Helena,IN,12,Garcia,40,Online project manager,Leeds,NA,NA
10,2,Henry,IN,6,Bird,20,Student,Durham,NA,NA
10,2,Jamie,OUT,11,Finn,20,Part-time waiter,Surrey,NA,NA
10,2,Michael,IN,4,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,2,Michelle,IN,8,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",NA,NA
10,2,Phil,IN,3,Thorne,56,HGV driver,Rainham,NA,NA
10,2,Priya,IN,7,O'Shea,34,Marketing consultant,Leicester,NA,NA
10,2,Rosie,IN,5,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
10,2,Steph,IN,10,Blackwell,28,Shop assistant,Chester,NA,NA
10,3,Alice,IN,7,Fevronia,28,Geography teacher,Essex,NA,NA
10,3,Amelia,OUT,11,LeBruin,24,Fashion designer,Halifax,NA,NA
10,3,David,IN,2,Atherton,36,International health adviser,Whitby,NA,NA
10,3,Helena,IN,8,Garcia,40,Online project manager,Leeds,NA,NA
10,3,Henry,IN,1,Bird,20,Student,Durham,NA,NA
10,3,Michael,STAR BAKER,6,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,3,Michelle,IN,5,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",NA,NA
10,3,Phil,IN,10,Thorne,56,HGV driver,Rainham,NA,NA
10,3,Priya,IN,4,O'Shea,34,Marketing consultant,Leicester,NA,NA
10,3,Rosie,IN,9,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
10,3,Steph,IN,3,Blackwell,28,Shop assistant,Chester,NA,NA
10,4,Alice,IN,8,Fevronia,28,Geography teacher,Essex,NA,NA
10,4,David,IN,2,Atherton,36,International health adviser,Whitby,NA,NA
10,4,Helena,IN,9,Garcia,40,Online project manager,Leeds,NA,NA
10,4,Henry,IN,3,Bird,20,Student,Durham,NA,NA
10,4,Michael,IN,7,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,4,Michelle,IN,5,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",NA,NA
10,4,Phil,OUT,6,Thorne,56,HGV driver,Rainham,NA,NA
10,4,Priya,IN,10,O'Shea,34,Marketing consultant,Leicester,NA,NA
10,4,Rosie,IN,4,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
10,4,Steph,STAR BAKER,1,Blackwell,28,Shop assistant,Chester,NA,NA
10,5,Alice,IN,6,Fevronia,28,Geography teacher,Essex,NA,NA
10,5,David,IN,9,Atherton,36,International health adviser,Whitby,NA,NA
10,5,Helena,OUT,1,Garcia,40,Online project manager,Leeds,NA,NA
10,5,Henry,IN,3,Bird,20,Student,Durham,NA,NA
10,5,Michael,IN,8,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,5,Michelle,OUT,7,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",NA,NA
10,5,Priya,IN,2,O'Shea,34,Marketing consultant,Leicester,NA,NA
10,5,Rosie,IN,5,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
10,5,Steph,STAR BAKER,4,Blackwell,28,Shop assistant,Chester,NA,NA
10,6,Alice,IN,1,Fevronia,28,Geography teacher,Essex,NA,NA
10,6,David,IN,2,Atherton,36,International health adviser,Whitby,NA,NA
10,6,Henry,IN,4,Bird,20,Student,Durham,NA,NA
10,6,Michael,IN,6,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,6,Priya,OUT,7,O'Shea,34,Marketing consultant,Leicester,NA,NA
10,6,Rosie,IN,5,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
10,6,Steph,STAR BAKER,3,Blackwell,28,Shop assistant,Chester,NA,NA
10,7,Alice,IN,6,Fevronia,28,Geography teacher,Essex,NA,NA
10,7,David,IN,2,Atherton,36,International health adviser,Whitby,NA,NA
10,7,Henry,STAR BAKER,3,Bird,20,Student,Durham,NA,NA
10,7,Michael,OUT,5,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
10,7,Rosie,IN,1,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
10,7,Steph,IN,4,Blackwell,28,Shop assistant,Chester,NA,NA
10,8,Alice,IN,3,Fevronia,28,Geography teacher,Essex,NA,NA
10,8,David,IN,1,Atherton,36,International health adviser,Whitby,NA,NA
10,8,Henry,OUT,5,Bird,20,Student,Durham,NA,NA
10,8,Rosie,IN,2,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
10,8,Steph,STAR BAKER,4,Blackwell,28,Shop assistant,Chester,NA,NA
10,9,Alice,STAR BAKER,4,Fevronia,28,Geography teacher,Essex,NA,NA
10,9,David,IN,2,Atherton,36,International health adviser,Whitby,NA,NA
10,9,Rosie,OUT,1,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
10,9,Steph,IN,3,Blackwell,28,Shop assistant,Chester,NA,NA
10,10,Alice,Runner-up,2,Fevronia,28,Geography teacher,Essex,NA,NA
10,10,David,WINNER,1,Atherton,36,International health adviser,Whitby,NA,NA
10,10,Steph,Runner-up,3,Blackwell,28,Shop assistant,Chester,NA,NA
